title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"7 Things You Don't Know About Men",movie,Comedy,2016,tt5312370,4.7,683,PL
"Patriots Day",movie,"Action, Crime, Drama",2016,tt4572514,7.3,116480,"AR, BO, BR, BZ, CL, CO, CR, EC, ES, GB, GG, GI, GT, HN, ID, IE, MT, MX, NI, PA, PE, PY, SV, TW, US, UY, VE"
"La Leyenda Del Diamante",movie,"Adventure, Fantasy, Horror",2017,tt6487242,3.2,62,"AG, AR, BB, BM, BO, BR, BS, BZ, CA, CL, CO, CR, CU, DO, EC, ES, GT, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, US, UY, VE"
"Air Mata Surga",movie,Drama,2015,,,,"ID, MY, PH, SG, TH"
"Assalamualaikum Beijing",movie,"Drama, Romance",2014,tt5674378,7.4,385,ID
"I, Tonya",movie,"Biography, Comedy, Drama",2017,tt5580036,7.5,249953,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, CU, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Do-Over",movie,"Action, Adventure, Comedy",2016,tt4769836,5.7,53084,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
"Bezness as Usual",movie,Documentary,2016,tt5863360,7.7,83,"AT, BE, BG, CZ, DE, EE, ES, FR, GB, GR, HU, IE, IS, IT, LT, LV, NL, PL, PT, RO, SI, SK"
"Arctic Heart",movie,"Comedy, Drama, Romance",2016,tt4607228,5.2,1188,"AD, FR, GF, MC, PF"
"The Bacchus Lady",movie,Drama,2016,tt5628012,7.2,1149,KR
Puccini,movie,"Biography, Drama",1984,tt0227319,5.3,56,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IS, IT, LT, LU, LV, NL, NO, PL, PT, RO, SE, SI, SK"
"The Ploy",movie,"Biography, Crime, Drama",2016,tt3838498,6.3,501,"AL, AT, BA, BE, BG, CH, CZ, DE, DK, EE, ES, FI, GR, HR, HU, IS, LT, LU, LV, MD, ME, MK, NL, NO, PL, RO, RS, SE, SI, SK, TR"
"All We Had",movie,Drama,2016,tt3910814,5.9,3265,"AG, AR, AU, BB, BO, BR, BS, BZ, CL, CO, CR, CU, DO, EC, GB, GG, GI, GT, HN, IE, JM, JP, LC, MX, NI, NZ, PA, PE, PL, PY, SV, TC, TT, UY, VE"
"The Appointed",movie,Drama,1990,tt0137806,7.2,40,IL
"Seoul Station",movie,"Action, Animation, Horror",2016,tt3845670,6.1,8056,KR
"I Married a Dumbass",movie,"Comedy, Romance",2016,tt5465868,5.5,1693,AR
"The Hitman's Bodyguard",movie,"Action, Comedy, Crime",2017,tt1959563,6.9,253188,"AG, AR, AU, BB, BM, BO, BR, BS, BZ, CL, CO, CR, CU, DO, EC, FJ, GT, HN, ID, JM, KR, LC, MX, NI, NZ, PA, PE, PH, PY, SV, TC, TT, TW, UY, VE"
"Sand Castle",movie,"Action, Drama, War",2017,tt2582576,6.3,28593,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
"Rebel in the Rye",movie,"Biography, Drama, Romance",2017,tt4986134,6.7,11059,KR
"Mark Felt: The Man Who Brought Down the White House",movie,"Biography, Drama, History",2017,tt5175450,6.4,15136,MY
Jungle,movie,"Adventure, Biography, Drama",2017,tt3758172,6.7,66117,"AU, FJ, NZ"
"The Tenth Man",movie,"Comedy, Drama, Romance",2016,tt5446610,5.8,1266,"AG, AR, BM, BO, BS, BZ, CL, CO, CR, CU, DO, EC, GF, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, UY, VE"
"DEAW #11 Stand Up Comedy Show",movie,Comedy,2015,,,,TH
"The Heritage of Love",movie,"Action, Drama, Romance",2016,tt5202654,4.5,495,MD
Tunnel,movie,"Drama, Thriller",2016,tt5910280,6.8,11135,"ID, KR, MY, SG, TH, TW"
"Team Foxcatcher",movie,"Biography, Crime, Documentary",2016,tt5598216,7.2,7425,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
"Kingsglaive: Final Fantasy XV",movie,"Action, Adventure, Animation",2016,tt5595168,6.7,23576,"AD, AE, AL, AO, AU, BA, BG, BH, CA, CH, CI, CM, CV, CY, CZ, DK, DZ, EE, EG, FI, FR, GB, GF, GG, GH, GI, GQ, GR, HR, HU, IE, IN, IQ, IT, JO, KE, KW, LB, LT, LV, LY, MA, MC, ME, MG, MK, ML, MT, MU, MZ, NE, NG, NO, NZ, OM, PF, PK, PL, PS, QA, RO, RS, SA, SC, SE, SI, SK, SM, SN, TN, TR, TZ, UG, YE, ZA, ZM, ZW"
"Modelky s.r.o.",movie,Comedy,2014,tt3212706,2.6,53,SK
"I'll Sleep When I'm Dead",movie,Documentary,2016,tt4679136,6.6,1458,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
"Three Days of Terror: The Charlie Hebdo Attacks",movie,Documentary,2016,tt5323074,7.5,93,"BM, GB, GG, GI, IE, TC"
"From Russia with Cash",movie,Documentary,2015,tt5229432,4.6,81,"BM, GB, GG, GI, IE"
Pyatnitsa,movie,Comedy,2016,tt5311004,6.1,1119,MD
"Dangerous Cops",movie,Action,1987,tt1548532,5.3,61,JP
"Soreike! Anpanman: Baikinman no gyakushû",movie,"Adventure, Animation, Family",1990,tt1189080,7,11,JP
"Go! Anpanman: Tears of the Mermaid Princess",movie,"Family, Animation, Fantasy",2000,,,,JP
"Go! Anpanman: Nyanii of the Country of Dream Cats",movie,"Fantasy, Animation",2004,,,,JP
"Soreike! Anpanman: Yureisen o Yattsukero!!",movie,"Adventure, Animation, Family",1995,tt19813148,,,JP
"Animali nella Grande Guerra",movie,"Documentary, War",2015,tt4720218,6.4,56,"AL, AT, BA, BE, BG, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IS, LT, LU, LV, MD, ME, MK, NL, NO, PL, PT, RO, RS, SE, SI, SK, TR"
Whistleblower,movie,"Crime, Drama, Thriller",2016,tt5612478,6.9,70,"ID, MY, PH, SG, TH"
Baaghi,movie,"Action, Drama, Romance",2016,tt4864932,5.3,10579,"AD, AE, AG, AL, AO, AR, AU, AZ, BA, BB, BH, BM, BO, BR, BS, BY, BZ, CA, CI, CL, CM, CO, CR, CU, CV, DO, DZ, EC, EG, FJ, GG, GH, GI, GQ, GT, HK, HN, ID, IL, IN, IQ, JM, JO, JP, KE, KW, LB, LC, LY, MA, MC, MD, ME, MG, MK, ML, MU, MX, MY, MZ, NE, NG, NI, NZ, OM, PA, PE, PH, PK, PL, PS, PY, QA, RS, SA, SC, SE, SG, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
Apprentice,movie,Drama,2016,tt4660736,6.6,1842,"ID, MY, SG"
"A Futile and Stupid Gesture",movie,"Biography, Comedy",2018,tt5566790,6.7,18298,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
"Never Back Down: No Surrender",movie,"Action, Sport",2016,tt4790268,6.3,7569,"CA, IN, IT, MC, MT, PK, SM"
"Excentrycy, czyli po slonecznej stronie ulicy",movie,"Comedy, Music",2015,tt5389804,5.5,347,PL
"Max & Leon",movie,"Adventure, Comedy, War",2016,tt5091538,6.2,2749,"CY, DK, FI, FR, GF, GR, IS, LI, MC, NO, PF"
"The Invisible Guardian",movie,"Crime, Horror, Mystery",2017,tt4924942,6.4,18352,"AD, AE, AG, AL, AO, AR, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LT, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
"The Passionate Sentry",movie,Comedy,1952,tt0045011,5.5,114,"DK, FI, NO, SE"
"Adam: His Song Continues",movie,"Crime, Drama",1986,tt0090589,7,247,US
"The Divide",movie,Documentary,2015,tt2254110,6.7,291,"AT, BE, BG, CH, CZ, DE, EE, ES, FR, GB, GR, HR, HU, IE, IS, IT, LT, LU, LV, NL, PL, PT, RO, SI, SK"
"Her Father, My Lover",movie,"Comedy, Drama, Family",2015,tt5074416,6.3,33,KR
"Troppo napoletano",movie,Comedy,2016,tt5654282,5.7,392,"IT, SM"
Museum,movie,"Crime, Horror, Thriller",2016,tt5227140,6,1198,JP
Korridoren,movie,Drama,1968,tt0062826,6.2,107,"AT, BE, BG, CH, CY, CZ, DE, EE, ES, FR, GB, GF, GI, GR, HR, HU, IT, LI, LT, LU, LV, MT, NL, PL, PT, RO, SI, SK"
"Patton Oswalt: Talking for Clapping",movie,"Comedy, Documentary",2016,tt5457520,6.8,2117,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
Marshall,movie,"Biography, Crime, Drama",2017,tt5301662,7.3,27297,"AU, CA, JP"
Insane,movie,"Mystery, Thriller",2016,tt5572720,6,651,KR
"Cult of Chucky",movie,"Horror, Thriller",2017,tt3280262,5.3,31689,"AG, AR, BB, BM, BO, BS, BZ, CL, CO, CR, CU, CY, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TR, TT, UY, VE"
Extremis,movie,"Documentary, Short",2016,tt5538078,7.2,2748,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
"Ae Dil Hai Mushkil",movie,"Drama, Music, Musical",2016,tt4559006,5.9,27097,"AD, AE, AG, AL, AO, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KW, LB, LC, LI, LT, LU, LV, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NL, NO, NZ, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SN, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, ZA, ZM, ZW"
Fences,movie,Drama,2016,tt2671706,7.2,120678,PS
"Psycho Raman",movie,"Crime, Drama, Thriller",2016,tt5662932,7.3,16392,"CZ, HR"
"Text for You",movie,"Comedy, Drama, Romance",2016,tt5193460,6.5,2241,"AT, CH, DE, LI, LU"
"Official Secrets",movie,"Biography, Crime, Drama",2019,tt5431890,7.3,56914,"AU, BM, FJ, GB, GG, GI, IE, MT, NZ, TC"
"Kills On Wheels",movie,"Action, Comedy, Drama",2016,tt3037164,7.1,3957,HU
Divines,movie,"Crime, Drama",2016,tt4730986,7.3,10713,"AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, GB, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MD, ME, MG, MK, ML, MT, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
"Mean Dreams",movie,"Drama, Thriller",2016,tt5160928,6.3,5144,CA
Reflections,movie,Documentary,2016,tt5465620,6.8,65,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FR, GB, GR, HR, HU, IE, IS, IT, LT, LU, LV, NL, PL, PT, RO, SI, SK"
Goldstone,movie,"Action, Crime, Mystery",2016,tt4911996,6.6,6378,"AU, FJ, NZ"
"The Dazzling Light of Sunset",movie,Documentary,2016,tt6709494,6.2,140,"AT, BE, BG, CZ, DE, ES, FR, GB, GR, HR, HU, IT, LT, LU, LV, PL, PT, RO, SI, SK"
"Santa Banta Pvt Ltd",movie,"Comedy, Crime, Drama",2016,tt2909396,2.7,321,"AG, AL, AT, AU, BA, BG, BH, BM, CA, DK, DZ, FR, GB, GI, IN, IQ, IS, IT, JM, JO, KW, LB, LC, LI, LT, LV, LY, MD, MK, NZ, PH, PS, QA, RO, RS, SI, SK, TC, TW, US, ZA"
"The Florida Project",movie,Drama,2017,tt5649144,7.6,134937,"KR, TH, TW"
"Phantom Detective",movie,"Action, Crime, Drama",2016,tt5644726,6.3,1385,KR
"Tour de France",movie,Drama,2016,tt5189440,5.7,434,KR
"At the End of the Tunnel",movie,"Crime, Drama, Thriller",2016,tt5133308,7,16149,ES
"What's Up with Cinta 2",movie,"Drama, Romance",2016,tt5687416,7.3,2206,ID
"Porta dos Fundos: Contrato Vitalício",movie,Comedy,2016,tt5708172,3.8,1504,BR
"The Pirates of Somalia",movie,"Biography, Drama",2017,tt5126922,6.7,11450,AG
"Garfunkel and Oates: Trying to Be Special",movie,"Comedy, Music",2016,tt5602318,7.3,1070,CA
"Just the 3 of Us",movie,"Comedy, Romance",2016,tt5450570,6.5,261,"ID, MY, PH, SG, TH"
"Chasing Fifty",movie,"Comedy, Romance",2015,tt4483192,5.2,285,"CZ, SK"
"I dimma dold",movie,"Crime, Mystery",1953,tt0045900,6.2,297,"AT, BE, BG, BM, CH, CY, CZ, DE, EE, ES, FR, GB, GF, GG, GI, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, NL, PF, PL, PT, RO, SI, SK"
"Awasarn Lok Suay",movie,Thriller,2016,tt5365036,5.8,117,TH
"Naa Bangaaru Talli",movie,"Crime, Drama",2013,,,,IE
"Tiger Theory",movie,"Comedy, Drama",2016,tt4568328,7.1,829,"CZ, SK"
Pitch,movie,"Drama, Sport",2016,tt5756530,6.3,288,MD
"In the Shadow of Iris",movie,"Drama, Thriller",2016,tt5598110,6.1,4778,"AO, BE, CH, CI, CM, CV, DZ, GH, GQ, KE, LU, LY, MA, MG, ML, MZ, NE, NG, SC, SN, TD, TN, TZ, UG, ZA, ZM, ZW"
"Something Huge",movie,Comedy,2017,tt5674698,4.4,514,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GB, GF, GG, GH, GI, GR, GT, HK, HN, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
"Hold the Dark",movie,"Action, Crime, Drama",2018,tt5057140,5.6,41419,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
"Suster Keramas",movie,"Comedy, Horror",2009,tt1979353,5.9,99,ID
"Ruma Maida",movie,"Drama, Family",2009,,,,ID
"Death Wish",movie,"Action, Crime, Drama",2018,tt1137450,6.3,78537,KR
"Only the Brave",movie,"Action, Biography, Drama",2017,tt3829920,7.6,80796,"AG, AR, BB, BM, BO, BR, BS, BZ, CA, CL, CO, CR, CU, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, TW, UY, VE"
"Frank and Cindy",movie,"Biography, Documentary, Drama",2007,tt0986354,6.9,400,"AL, AO, AU, AZ, BA, BG, BM, BY, CA, CI, CM, CV, CY, EE, FJ, GB, GG, GH, GI, GQ, GR, HR, ID, IE, IN, IS, KE, LI, LT, LV, MC, MD, ME, MG, MK, ML, MT, MU, MY, MZ, NE, NG, NZ, PH, PK, PL, RO, RS, SC, SI, SK, SN, TC, TH, TR, TZ, UG, US, ZA, ZM, ZW"
"Whispering Sands",movie,Drama,2001,tt0292171,7.2,250,ID
"Gantz: O",movie,"Action, Animation, Drama",2016,tt5923962,7.1,17150,"GG, GH, HK, ID, IN, JP, KE, KR, MU, MY, NG, PH, PK, SG, SN, TH, TW, TZ"
"Ali Wong: Baby Cobra",movie,Comedy,2016,tt5066574,7.5,8169,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GR, GT, HK, HN, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
"Molly's Game",movie,"Biography, Crime, Drama",2017,tt4209788,7.4,194323,"AD, ES, KR, PH, US"
"The Meyerowitz Stories",movie,"Comedy, Drama",2017,tt5536736,6.9,55019,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
"Annabelle: Creation",movie,"Horror, Mystery, Thriller",2017,tt5140878,6.5,156674,"AD, BA, BE, BG, CY, CZ, ES, FR, GF, GR, HR, HU, IN, JP, KR, LU, MC, MD, ME, MK, PF, PL, PT, RO, RS, SI, SK"
A.K.,movie,"Biography, Documentary, History",1985,tt0088658,7,1269,"BG, CY, EE, GR, HR, IS, LI, LT, LV, NL, PT, RO, SI"
"Creep 2",movie,"Horror, Thriller",2017,tt3654796,6.4,35269,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
"Train to Busan",movie,"Action, Horror, Thriller",2016,tt5700672,7.6,275555,"AR, BO, BR, BZ, CL, CO, CR, CU, DO, EC, GT, HN, ID, JM, JP, KR, LC, MX, MY, NI, PA, PE, PY, SG, SV, TH, UY, VE"
"Melancholy Is a Movement",movie,Drama,2015,tt5920318,6.1,28,ID
Anon,movie,"Crime, Mystery, Sci-Fi",2018,tt5397194,6.1,49769,"AD, AG, AR, AU, BB, BE, BM, BO, BR, BS, BZ, CA, CL, CO, CR, CU, CZ, DK, DO, EC, FI, FJ, FR, GF, GT, HN, HU, JM, KR, LC, LU, MC, MU, MX, NI, NL, NO, NZ, PA, PE, PF, PL, PY, RO, SE, SK, SV, TC, TT, US, UY, VE"
"The Last Word",movie,"Comedy, Drama",2017,tt5023260,6.6,9063,TW
"Felicia Impastato",movie,Drama,2016,tt5455934,6.3,162,"DK, FI, FR, GR, IS, NL, NO, PT, SE, TR"
"The Devil's Pass",movie,"Adventure, Drama",1958,tt0051615,6.8,470,"CY, DK, FI, LI, MT, NO, SE"
Odmazda,movie,"Drama, War",2001,tt0180894,7,166,"AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LV, MT, NL, NO, PL, PT, RO, SE, SI, SK"
"The Beginning of Life",movie,"Documentary, Family",2016,tt5140248,7.5,1022,"CI, CV, GH, KE, MU, MZ, NG, SC, SN, ZM"
"The Autopsy of Jane Doe",movie,"Horror, Mystery, Thriller",2016,tt3289956,6.8,149598,"GB, GG, GI, ID, IE, KR, MT, MY, PH, SG, US"
"3 Little Pigs and the Magic Lamp",movie,Family,2015,tt4618818,5.3,33,KR
"Murundak: Songs of Freedom",movie,"Documentary, History, Music",2011,tt1693764,6.6,23,"AU, FJ, NZ"
"Vengeance: A Love Story",movie,"Action, Adventure, Crime",2017,tt5460530,5.2,9311,GF
