title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Run Lola Run",movie,"Action, Crime, Thriller",1998,tt0130827,7.6,211670,"AT, CH, DE, LI, LU"
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,934057,"AD, AT, BE, CA, CH, CY, DE, EE, ES, FJ, FR, GB, GF, GG, GI, GR, HK, ID, IE, IL, IN, IT, LI, LT, LU, LV, MC, MT, MU, MY, NZ, PF, PH, PK, PT, SG, SM, TH, TR, TW"
Scarface,movie,"Crime, Drama",1983,tt0086250,8.3,948338,CA
"Italian for Beginners",movie,"Comedy, Drama, Romance",2000,tt0243862,7,14093,"DK, FI, NO, SE"
"Charlie and the Chocolate Factory",movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,544822,"AD, AT, BE, CH, DE, ES, FJ, FR, GF, HK, ID, IT, JP, KR, LI, LU, MC, MY, PF, PH, PK, PT, SG, SM, TH, TW"
"The Lord of the Rings: The Fellowship of the Ring",movie,"Adventure, Drama, Fantasy",2001,tt0120737,8.9,2076504,"AU, CH, IN, IT, JP, KR, NZ, SM"
"The Lord of the Rings: The Two Towers",movie,"Adventure, Drama, Fantasy",2002,tt0167261,8.8,1845894,"AU, CH, IN, IT, JP, KR, NZ, SM"
"The Lord of the Rings: The Return of the King",movie,"Adventure, Drama, Fantasy",2003,tt0167260,9,2047256,"AU, CH, IN, IT, JP, KR, NZ, SM"
"Princess Mononoke",movie,"Adventure, Animation, Fantasy",1997,tt0119698,8.3,451552,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
"Spirited Away",movie,"Adventure, Animation, Family",2001,tt0245429,8.6,890031,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
"O Brother, Where Art Thou?",movie,"Comedy, Crime, Drama",2000,tt0190590,7.7,338325,"AU, GB, GG, GI, IE, NZ"
"Groundhog Day",movie,"Comedy, Drama, Fantasy",1993,tt0107048,8,705379,"AD, AT, BE, CH, DE, DZ, FR, GF, IL, LI, LU, MA, MC, MU, PF, PL, TN, TR"
"Bad Education",movie,"Crime, Drama",2004,tt0275491,7.4,64438,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, ES, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Donnie Darko",movie,"Drama, Mystery, Sci-Fi",2001,tt0246578,8,871846,TW
"Brokeback Mountain",movie,"Drama, Romance",2005,tt0388795,7.7,395997,FR
Akira,movie,"Animation, Drama, Fantasy",1988,tt0094625,8,212438,"AG, AR, BE, BO, BR, BZ, CH, CL, CO, CR, CU, DO, EC, FR, GT, HN, IT, JP, LC, LU, MX, NI, NL, PA, PE, PY, SM, SV, UY, VE"
"Lost in Translation",movie,"Comedy, Drama",2003,tt0335266,7.7,505310,CA
"The Dark Knight",movie,"Action, Crime, Drama",2008,tt0468569,9,2971122,"AD, AT, AU, CH, DE, ES, IT, JP, KR, LI, LU, NZ, PT, SM"
"Ocean's Eleven",movie,"Crime, Thriller",2001,tt0240772,7.7,637270,"BE, CH, HR, IT, SM"
"Ocean's Twelve",movie,"Crime, Thriller",2004,tt0349903,6.5,422686,"BE, CH, IT, SM"
Saw,movie,"Horror, Mystery, Thriller",2004,tt0387564,7.6,483369,"AL, AT, AZ, BG, BY, CA, CZ, DE, DK, EE, ES, FI, GB, GG, GI, GR, HR, HU, IE, IS, IT, KR, LI, LT, LU, LV, MC, MD, ME, MK, MT, NO, PL, PT, RO, RS, SE, SI, SK, SM, UA"
