title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
American History X,movie,"Crime, Drama",1998.0,8.5,1217153.0,"AD, ES, PT"
Mars Attacks!,movie,"Comedy, Sci-Fi",1996.0,6.4,249883.0,"BE, CH, IT, SM"
Before Sunrise,movie,"Drama, Romance",1995.0,8.1,352674.0,"CY, KR, TR"
Memento,movie,"Mystery, Thriller",2000.0,8.4,1359677.0,KR
Hero,movie,"Action, Adventure, Drama",2002.0,7.9,189768.0,KR
Before Sunset,movie,"Drama, Romance",2004.0,8.1,297697.0,KR
Nausicaä of the Valley of the Wind,movie,"Adventure, Animation, Sci-Fi",1984.0,8.0,188156.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
Open Water,movie,"Adventure, Drama, Horror",2003.0,5.8,57534.0,"AT, DE, LI, LU"
Raiders of the Lost Ark,movie,"Action, Adventure",1981.0,8.4,1062689.0,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Indiana Jones and the Temple of Doom,movie,"Action, Adventure",1984.0,7.5,546905.0,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Dirty Dancing,movie,"Drama, Music, Romance",1987.0,7.1,265565.0,CA
Indiana Jones and the Last Crusade,movie,"Action, Adventure",1989.0,8.2,829851.0,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Beverly Hills Cop,movie,"Action, Comedy, Crime",1984.0,7.4,221335.0,"KR, NZ"
Beverly Hills Cop II,movie,"Action, Comedy, Crime",1987.0,6.6,141974.0,"KR, NZ"
