title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
Lust for a Vampire,movie,Horror,1971.0,5.7,3818.0,"BG, CY, CZ, EE, GR, HR, HU, IS, LT, LV, NL, PT, RO, SI, SK"
Memories of Matsuko,movie,"Comedy, Drama, Musical",2006.0,7.8,9005.0,KR
Indian,movie,"Action, Drama, Thriller",1996.0,8.1,15308.0,"AD, AE, AG, AL, AO, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BR, BS, BY, BZ, CA, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NL, NO, NZ, PE, PF, PH, PK, PL, PT, PY, QA, RO, RS, SC, SE, SG, SI, SK, SN, SV, TC, TH, TR, TT, TW, TZ, UG, US, VE, ZA, ZM, ZW"
The Tree of Wooden Clogs,movie,"Drama, History",1978.0,7.8,7838.0,"AL, AT, BA, BE, BG, CH, CZ, EE, FI, FR, HR, HU, LT, LU, LV, MD, ME, MK, NL, NO, PL, RO, RS, SE, SI, SK, TR"
Lupin III: Island of Assassins,movie,"Action, Adventure, Animation",1997.0,7.2,579.0,JP
Balibo,movie,"Biography, Drama, History",2009.0,7.0,2976.0,"AU, FJ, NZ"
Private Eye,movie,Thriller,2009.0,6.7,1123.0,KR
The Sound of Trumpets,movie,Drama,1961.0,7.9,7016.0,"AL, AT, BA, BG, CH, CZ, DE, DK, EE, FI, GR, IS, LT, LV, MD, ME, MK, NL, NO, PL, RO, RS, SE, SI, SK, TR"
Steptoe & Son,movie,"Comedy, Romance",1972.0,6.5,1883.0,"DK, FI, NO, SE"
Pédale douce,movie,Comedy,1996.0,5.8,1996.0,"BG, CZ, DK, EE, ES, FI, GR, HR, HU, IS, IT, LI, LT, LV, MT, NL, NO, PT, RO, SE, SI, SK"
Queens,movie,"Comedy, Romance",2005.0,6.5,2215.0,"AD, ES, PT"
Czas surferów,movie,"Comedy, Crime",2005.0,5.9,1401.0,PL
Skazany na bluesa,movie,"Biography, Drama, Music",2005.0,6.9,2494.0,PL
Welcome Mr. Marshall!,movie,Comedy,1953.0,7.9,4953.0,ES
Black,movie,Drama,2005.0,8.1,36718.0,"AD, AE, AG, AL, AO, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DK, DO, DZ, EE, EG, ES, FI, FJ, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HR, ID, IE, IL, IN, IS, IT, JM, JP, KE, KR, KW, LB, LC, LI, LT, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MY, MZ, NE, NG, NL, NO, NZ, PE, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, ZA, ZM, ZW"
Carry on Jack,movie,"Adventure, Comedy, Romance",1964.0,5.9,2673.0,"BG, CZ, DK, EE, FI, GR, HR, HU, IS, IT, LT, LV, MT, PT, RO, SE, SI, SK"
Carry on Nurse,movie,"Comedy, Romance",1959.0,6.2,3316.0,"DK, FI, GR, HR, HU, IS, IT, LT, LV, NL, PT, SE, SK"
Carry on Sergeant,movie,"Comedy, War",1958.0,6.3,3105.0,"BG, CY, CZ, DK, EE, ES, FI, HR, HU, IS, IT, LT, LV, MT, NL, PT, RO, SE, SI, SK"
Carry on Teacher,movie,Comedy,1959.0,6.2,2754.0,"CZ, DK, ES, FI, GR, HR, HU, IS, IT, LV, NL, PT, SE, SK"
Carry on Regardless,movie,Comedy,1961.0,6.0,2592.0,"BG, CY, CZ, DK, EE, ES, FI, GR, HR, HU, IS, IT, LT, LV, MT, NL, PT, RO, SE, SI, SK"
Hanbando,movie,"Drama, Mystery, Thriller",2006.0,4.8,383.0,KR
Bloody Tie,movie,"Action, Crime, Thriller",2006.0,6.2,813.0,KR
Running Wild,movie,"Action, Crime, Drama",2006.0,6.3,885.0,KR
Mr. Socrates,movie,"Action, Crime",2005.0,6.2,502.0,KR
Typhoon,movie,Action,2005.0,5.7,1404.0,KR
Voice,movie,Horror,2005.0,6.2,1742.0,KR
The Magnet,movie,"Crime, Drama",2000.0,5.7,288.0,"CY, DK, LI, MT, SE"
Wild Horses,movie,"Comedy, Crime, Drama",1995.0,7.1,1897.0,"AG, AR, BB, BM, BO, BR, BS, BZ, CL, CO, CR, CU, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Another Public Enemy,movie,"Action, Drama",2005.0,6.0,698.0,KR
Wishing Stairs,movie,"Drama, Horror",2003.0,5.8,3364.0,KR
Phone,movie,"Horror, Mystery, Thriller",2002.0,6.1,5348.0,KR
Ask Geliyorum Demez,movie,"Comedy, Romance",2009.0,5.1,1869.0,"AE, AL, AZ, BA, BG, BH, BY, CZ, DE, DZ, EE, EG, HU, IQ, JO, KW, LB, LT, LV, LY, MA, ME, MK, QA, RS, SI, SK, TN, TR"
Mixtape,movie,"Comedy, Drama, Family",2021.0,6.6,4312.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
Balls,movie,"Comedy, Drama, Family",2010.0,5.7,3592.0,"DK, FI, NO, SE"
"Justice, My Foot!",movie,"Action, Comedy, Crime",1992.0,6.8,3230.0,"HK, ID, IN, JP, KR, MY, PH, PK, SG, TH, TW"
Mall Girls,movie,Drama,2009.0,5.4,2528.0,PL
Flic Story,movie,"Crime, Drama, Thriller",1975.0,6.9,3182.0,"BG, CY, EE, GR, HR, IS, LI, LT, LV, NL, PT, RO, SI"
Time You Change,movie,"Biography, Drama, Music",2010.0,3.1,5743.0,"AT, CH, DE, LI, LU"
Gabrielle,movie,"Drama, Romance",2005.0,6.3,2156.0,"BG, DK, EE, FI, GR, HR, HU, IS, LT, LV, NL, NO, PT, RO, SE, SI, SK"
First Name: Carmen,movie,"Crime, Drama, Music",1983.0,6.3,4660.0,"BG, CY, CZ, EE, GR, HR, HU, IS, LI, LT, LV, NL, PT, RO, SI, SK"
Do You Like Spring Bear?,movie,"Comedy, Drama, Romance",2003.0,5.8,319.0,KR
Doing Hard Time,movie,"Action, Drama",2004.0,4.8,1869.0,"AG, AL, AO, AR, AU, BA, BB, BE, BG, BM, BO, BR, BS, BZ, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DK, DO, EC, EE, FI, GH, GQ, GR, GT, HN, HR, HU, IS, IT, JM, JP, KE, KR, LC, LT, LV, MC, ME, MG, MK, ML, MT, MX, MZ, NE, NG, NI, NO, NZ, PA, PE, PL, PY, RO, RS, SC, SE, SI, SK, SM, SN, SV, TC, TR, TT, TZ, UG, UY, VE, ZA, ZM, ZW"
Get Him to the Greek,movie,"Comedy, Music",2010.0,6.3,187432.0,"AD, AE, AG, AL, AO, AT, AZ, BA, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CO, CR, CU, CV, CY, CZ, DK, DO, DZ, EC, EE, EG, GF, GH, GI, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, JM, JP, KE, KR, LB, LC, LI, LT, LU, LV, LY, MA, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NG, NO, NZ, PA, PE, PF, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SG, SI, SK, SN, SV, TC, TH, TR, TW, TZ, UY, VE, ZA, ZM, ZW"
Against the Wind,movie,"Action, Drama, Thriller",1948.0,6.3,822.0,"CY, DK, FI, LI, MT, NO, SE"
Mulan: Rise of a Warrior,movie,"Adventure, Drama, Romance",2009.0,6.6,6984.0,TW
Recep Ivedik 3,movie,Comedy,2010.0,4.3,21903.0,"PS, TR"
Heat Wave,movie,"Crime, Drama, Film-Noir",1954.0,6.0,856.0,"CY, DK, FI, LI, MT, NO, SE"
Solomon Kane,movie,"Action, Adventure, Fantasy",2009.0,6.1,78040.0,CA
Paheli,movie,"Comedy, Drama, Fantasy",2005.0,6.4,14607.0,"AD, AE, AG, AL, AO, AR, AU, AZ, BA, BB, BH, BM, BO, BR, BS, BY, BZ, CA, CI, CL, CM, CO, CR, CU, CV, DO, DZ, EC, EG, FJ, GG, GH, GI, GQ, GT, HK, HN, ID, IL, IN, IQ, JM, JO, JP, KE, KW, LB, LC, LY, MA, MC, MD, ME, MG, MK, ML, MU, MX, MY, MZ, NE, NG, NI, NZ, OM, PA, PE, PH, PK, PS, PY, QA, RS, SA, SC, SG, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
Public Enemy,movie,"Action, Crime",2002.0,7.1,2412.0,KR
Tidal Wave,movie,"Action, Drama, Sci-Fi",2009.0,5.5,5369.0,KR
Tapas,movie,"Comedy, Drama",2005.0,6.7,2846.0,ES
The Way Home,movie,Drama,2002.0,7.7,6038.0,"KR, TW"
Cell 211,movie,"Action, Crime, Drama",2009.0,7.6,71780.0,"AD, ES"
The Big Day,movie,"Comedy, Romance",2005.0,5.3,489.0,"AT, BE, BG, BM, CH, CY, CZ, DE, EE, ES, FR, GB, GG, GI, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, NL, PL, PT, RO, SI, SK"
The Girl from Paris,movie,"Comedy, Drama",2001.0,6.6,2484.0,"BG, CY, CZ, DK, EE, ES, FI, GR, HR, HU, IS, IT, LI, LT, LV, MT, NO, PT, RO, SE, SI, SK"
Between Calmness and Passion,movie,Romance,2001.0,6.6,517.0,KR
Aftermath,movie,Drama,2004.0,6.8,858.0,"AT, BE, BG, BM, CH, CY, CZ, DE, EE, ES, FR, GB, GI, GR, HR, HU, IS, IT, LI, LT, LU, LV, MT, NL, PL, PT, RO, SI, SK"
The Valachi Papers,movie,"Crime, Drama",1972.0,6.4,4661.0,"BG, CY, CZ, DK, EE, ES, FI, GR, HR, HU, IS, LT, LV, MT, NL, NO, PT, RO, SE, SI, SK"
Twigson,movie,"Adventure, Comedy, Family",2009.0,5.8,546.0,"DK, FI, NO, SE"
Temporary Release,movie,"Comedy, Drama",2007.0,5.6,697.0,"AT, BE, BG, BM, CH, CZ, DE, EE, ES, FR, GB, GG, GI, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, NL, PL, PT, RO, SI, SK"
Lotto,movie,Comedy,2006.0,5.4,745.0,"AT, BE, BG, BM, CH, CZ, DE, EE, ES, FR, GB, GG, GI, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, NL, PL, PT, RO, SI, SK"
Move Me,movie,"Comedy, Drama",2003.0,6.4,1087.0,"AT, BE, BG, BM, CH, CY, CZ, DE, EE, ES, FR, GB, GG, GI, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, NL, PL, PT, RO, SI, SK, TC"
The Wedding Photographer,movie,"Comedy, Drama, Romance",2009.0,6.0,4401.0,"DK, NO, SE"
Pellet,movie,Drama,2000.0,7.3,7173.0,ES
Wanee & Junah,movie,"Drama, Romance",2001.0,6.8,445.0,KR
French Fried Vacation 2,movie,Comedy,1979.0,7.4,9506.0,"BG, CY, CZ, EE, GR, HR, HU, IS, LI, LT, LV, NL, PT, RO, SI, SK"
Tony Manero,movie,"Drama, Music",2008.0,6.8,4612.0,"AG, AR, BB, BM, BO, BR, BS, BZ, CL, CO, CR, CU, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Starring Maja,movie,"Comedy, Drama, Family",2009.0,6.3,640.0,"AT, BE, BG, CH, CY, CZ, DE, EE, ES, FR, GB, GF, GI, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, NL, PL, PT, RO, SI, SK"
Place Vendôme,movie,"Crime, Drama",1998.0,6.2,2718.0,"CY, DK, FI, LI, MT, NO, SE"
Goodbye Gary Cooper,movie,Drama,2009.0,5.9,287.0,"BG, CY, EE, GR, HR, IS, LI, LT, LV, NL, PT, RO, SI"
Mammoth,movie,"Drama, Romance",2009.0,6.8,10574.0,"DK, FI, NO, SE"
She's Out of My League,movie,"Comedy, Romance",2010.0,6.4,148027.0,JP
Barbie in a Mermaid Tale,movie,"Animation, Family, Fantasy",2010.0,6.4,4376.0,"CV, MZ"
14 Blades,movie,"Action, History, Thriller",2010.0,6.3,8588.0,KR
Rosa: The Movie,movie,"Comedy, Drama, Family",2007.0,4.7,521.0,"AT, BE, BG, BM, CH, CY, CZ, DE, EE, ES, FR, GB, GF, GG, GI, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, NL, PF, PL, PT, RO, SI, SK, TC"
Duck Season,movie,"Comedy, Drama",2004.0,7.2,4772.0,"AG, AR, BB, BM, BO, BR, BS, BZ, CA, CL, CO, CR, CU, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, US, UY, VE"
Blind Revenge,movie,"Mystery, Thriller",2009.0,5.4,1094.0,"AT, BE, BG, CH, CY, CZ, DE, EE, ES, FR, GB, GR, HR, HU, IE, IS, IT, LT, LU, LV, NL, PL, PT, RO, SI, SK"
Battles Without Honor and Humanity,movie,"Crime, Drama",1973.0,7.4,4471.0,JP
Men with Brooms,movie,"Comedy, Drama, Romance",2002.0,5.9,4779.0,CA
Dragon Ball Z: Broly - The Legendary Super Saiyan,movie,"Action, Animation, Fantasy",1993.0,7.4,12500.0,JP
Mano po 6: A Mother's Love,movie,Drama,2009.0,6.2,44.0,PH
Scars of Dracula,movie,Horror,1970.0,6.1,6703.0,"BG, CZ, EE, HR, HU, LT, LV, RO, SI, SK"
"Sorry, If I Love You",movie,Romance,2008.0,6.1,5523.0,"IT, SM"
Bill Hicks: Relentless,movie,"Comedy, Documentary",1992.0,8.5,2681.0,"IL, MD, RO"
Katt Williams: The Pimp Chronicles Pt. 1,movie,"Comedy, Documentary",2006.0,7.7,2159.0,HR
Chestnut: Hero of Central Park,movie,"Comedy, Drama, Family",2004.0,5.7,1567.0,"AD, BE, FR, GF, LU, MC, PF"
House of Angels,movie,"Comedy, Drama",1992.0,6.4,5483.0,"DK, FI, NO, SE"
U Pana Boga za miedza,movie,Comedy,2009.0,6.0,562.0,PL
Karthik Calling Karthik,movie,"Drama, Mystery, Romance",2010.0,7.1,14403.0,"AD, AE, AG, AL, AO, AR, AU, AZ, BA, BB, BH, BM, BO, BR, BS, BY, BZ, CA, CI, CL, CM, CO, CR, CU, CV, DO, DZ, EC, EG, FJ, GG, GH, GI, GQ, GR, GT, HK, HN, HR, ID, IL, IN, IQ, JM, JO, JP, KE, KW, LB, LC, LY, MA, MC, MD, ME, MG, MK, ML, MU, MX, MY, MZ, NE, NG, NI, NZ, OM, PA, PE, PH, PK, PS, PY, QA, RO, RS, SA, SC, SG, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
I'm All Right Jack,movie,Comedy,1959.0,7.1,4513.0,"CY, DK, FI, LI, MT, NO, SE"
Death at a Funeral,movie,"Comedy, Drama",2010.0,5.7,54850.0,"AE, AG, AL, AR, AU, BA, BB, BE, BG, BH, BM, BO, BR, BS, BZ, CA, CL, CO, CR, CU, CY, CZ, DK, DO, DZ, EC, EE, EG, FI, GR, GT, HN, HU, IL, IN, IQ, JM, JO, KW, LB, LC, LT, LV, LY, MA, ME, MK, MT, MX, NI, NL, NO, OM, PA, PE, PK, PL, PS, PT, PY, QA, RO, RS, SA, SE, SI, SK, SV, TC, TN, TR, TT, UY, VE, YE"
Mafioso,movie,"Comedy, Crime, Drama",1962.0,7.6,3085.0,"BG, CY, CZ, DK, EE, ES, FI, GR, HR, HU, IS, LI, LT, LV, NL, NO, PT, RO, SE, SI, SK"
It Always Rains on Sunday,movie,"Crime, Drama, Romance",1947.0,7.1,2524.0,"BG, CY, CZ, EE, GR, HR, HU, IS, LI, LT, LV, NL, PT, RO, SI, SK"
A Man Who Was Superman,movie,"Comedy, Drama",2008.0,7.3,2291.0,KR
Nanny McPhee Returns,movie,"Comedy, Family, Fantasy",2010.0,6.1,38211.0,"AG, AR, BB, BM, BO, BR, BS, BZ, CL, CO, CR, CU, DO, EC, GT, HN, IL, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Murphy's War,movie,"Drama, War",1971.0,6.7,4119.0,"BG, CZ, DK, EE, ES, FI, GR, HR, HU, IS, LT, LV, NL, NO, PT, RO, SE, SI, SK"
Death in the Garden,movie,"Adventure, Crime, Drama",1956.0,6.7,2701.0,"BG, EE, GR, HR, IS, LI, LT, LV, RO, SI"
Strul,movie,"Action, Comedy, Crime",1988.0,5.9,2942.0,"AT, BE, BG, BM, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GF, GG, GI, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, NL, NO, PF, PL, PT, RO, SE, SI, SK"
Brothers: The Return,movie,"Crime, Drama, Thriller",2006.0,6.6,988.0,"AT, BG, CH, CZ, DE, ES, FR, GB, GI, GR, IT, LI, LT, PF, PL, PT, RO"
Beware of the Jonsson Gang!,movie,"Comedy, Crime",1981.0,6.3,4618.0,"AT, BE, BG, BM, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GF, GG, GI, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, NL, NO, PF, PL, PT, RO, SE, SI, SK"
Le vilain,movie,"Action, Comedy, Crime",2009.0,6.3,1536.0,"BG, EE, GR, HR, IS, LI, LT, LV, NL, RO, SI"
Miao Miao,movie,"Comedy, Drama, Romance",2008.0,6.3,1217.0,TW
Cookies,movie,"Comedy, Drama",1975.0,6.6,1128.0,"CY, DK, FI, LI, MT, NO, SE"
Cado dalle nubi,movie,Comedy,2009.0,6.5,6264.0,"IT, SM"
Harishchandrachi Factory,movie,"Biography, Comedy, Drama",2009.0,8.4,2754.0,"AE, AT, BA, BO, BR, CO, DK, DZ, EG, GR, IT, JP, KW, LB, MD, PK, PT, RO, RS, SE, TW, UY"
Geronimo: An American Legend,movie,"Drama, History, Western",1993.0,6.5,14026.0,"AD, BE, CA, CH, DK, DZ, FI, FR, GF, IN, LU, MA, MC, MU, NL, NO, NZ, PF, PK, SE"
The Chef,movie,Drama,2005.0,5.8,1461.0,"AT, BE, BG, BM, CH, CY, CZ, DE, EE, ES, FR, GB, GF, GG, GI, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, NL, PF, PL, PT, RO, SI, SK, TC"
They Came from Beyond Space,movie,"Adventure, Sci-Fi",1967.0,4.6,2157.0,"DK, FI, LI, MT, NO, SE"
Madeline,movie,"Comedy, Family",1998.0,6.0,8231.0,"BE, CA, KR, LU, NL"
Letters to God,movie,Drama,2010.0,6.2,5376.0,"AG, AR, BB, BM, BO, BR, BS, BZ, CL, CO, CR, CU, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Welcome to Sajjanpur,movie,"Comedy, Drama",2008.0,6.9,3393.0,"AT, BE, DE, DZ, EG, IT, RO"
Resident Evil: Afterlife,movie,"Action, Horror, Sci-Fi",2010.0,5.8,182120.0,"AE, AT, BH, CH, DE, DZ, EG, FJ, HK, ID, IQ, JO, JP, KW, LB, LI, LU, LY, MA, MY, OM, PH, PS, QA, SA, SG, TH, TN, TR, TW, YE"
Les parasites,movie,"Comedy, Drama",1999.0,5.6,457.0,"CZ, DK, EE, ES, FI, GR, HR, HU, IS, LT, LV, NO, PT, RO, SE, SK"
The Farmer's Wife,movie,"Comedy, Drama, Romance",1928.0,5.8,3228.0,"CY, DK, FI, MT, NO, SE"
The Hell of '63,movie,"Adventure, Comedy, Drama",2009.0,6.2,2441.0,"AT, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LT, LV, NL, NO, PL, PT, RO, SE, SI, SK"
Flash Point,movie,"Action, Crime, Thriller",2007.0,6.7,14037.0,KR
One More Chance,movie,"Drama, Romance",2007.0,7.5,881.0,"ID, MY, PH, SG, TH"
Sarafina!,movie,"Drama, Musical",1992.0,6.3,2342.0,"AO, CI, CM, CV, DZ, GH, GQ, KE, LY, MA, MG, ML, MU, MZ, NE, NG, SC, SN, TZ, UG, ZA, ZM, ZW"
East of Shanghai,movie,"Comedy, Drama, Romance",1931.0,5.7,5080.0,"BG, CY, CZ, DK, EE, ES, FI, GR, HR, HU, IS, IT, LT, LV, MT, NL, NO, PT, RO, SE, SI, SK"
Champagne,movie,Comedy,1928.0,5.4,2790.0,"CY, DK, FI, LI, MT, NO, SE"
The Crocodiles Strike Back,movie,"Adventure, Family",2010.0,5.8,968.0,"AT, CH, DE, LI, LU"
Be with You,movie,"Drama, Fantasy, Romance",2004.0,7.8,5098.0,KR
State Affairs,movie,"Mystery, Thriller",2009.0,6.3,685.0,"AT, CH, DE"
The Dark House,movie,"Crime, Drama, Thriller",2009.0,7.3,5325.0,PL
GTO: The Movie,movie,"Comedy, Drama",1999.0,6.6,1203.0,JP
The Little Match Girl,movie,"Drama, Fantasy, Short",1928.0,7.1,1629.0,"BG, CY, CZ, DK, EE, ES, FI, GR, HR, HU, IS, IT, LI, LT, LV, MT, NL, NO, PT, RO, SE, SI, SK"
Squeak-squeak,movie,Comedy,1963.0,6.5,2152.0,"BG, CY, CZ, DK, EE, ES, GR, HR, HU, NO, PT, RO, SE, SI, SK"
Bananas!*,movie,"Crime, Documentary, Drama",2009.0,6.9,966.0,"DE, ES, FR, GB, IT, NL"
Paju,movie,Drama,2009.0,6.5,578.0,KR
Dlaczego nie!,movie,"Comedy, Romance",2007.0,3.6,851.0,PL
Fluke,movie,"Comedy, Crime",1999.0,6.0,1270.0,PL
Janosik: A True Story,movie,"Adventure, Drama, Romance",2009.0,5.0,875.0,"CZ, SK"
U Pana Boga w ogródku,movie,Comedy,2007.0,6.3,873.0,PL
We're All Christs,movie,Drama,2006.0,7.2,2811.0,PL
Lemming's First Case,movie,"Comedy, Crime",2009.0,6.2,168.0,AT
Blade II,movie,"Action, Horror, Sci-Fi",2002.0,6.7,241985.0,"BA, BG, CY, CZ, GR, HR, HU, JP, KR, MD, ME, MK, PL, RO, RS, SI, SK, TR"
El ratón Pérez,movie,"Adventure, Animation, Comedy",2006.0,4.8,926.0,AR
Blade,movie,"Action, Horror, Sci-Fi",1998.0,7.1,312758.0,"BA, BG, CY, CZ, GR, HR, HU, JP, KR, MD, ME, MK, PL, RO, RS, SI, SK, TR"
Blade: Trinity,movie,"Action, Horror, Sci-Fi",2004.0,5.8,193978.0,"BA, BG, CY, CZ, GR, HR, HU, KR, MD, ME, MK, PL, RO, RS, SI, SK, TR"
Bert: The Last Virgin,movie,"Comedy, Family, Romance",1995.0,5.8,2181.0,"AT, CH, GR, HR, HU, LI, PL, PT, RO"
Secret,movie,Thriller,2009.0,6.4,705.0,KR
20th Century Boys 1: Beginning of the End,movie,"Adventure, Fantasy, Mystery",2008.0,6.6,2864.0,JP
Naruto Shippûden: The Movie 3: Inheritors of the Will of Fire,movie,"Action, Animation, Fantasy",2009.0,7.0,4620.0,"AG, AR, BE, BM, BO, BR, BS, BZ, CA, CL, CO, CR, CU, DO, EC, ES, FR, GF, GT, HN, JM, JP, LC, LU, MX, NI, PA, PE, PT, PY, SV, TC, US, UY, VE"
School for Scoundrels,movie,Comedy,1960.0,7.3,4059.0,"GR, IS, LI, NL, PT"
Sgt. Pepper's Lonely Hearts Club Band,movie,"Adventure, Comedy, Fantasy",1978.0,4.2,7124.0,US
Stricken,movie,"Drama, Romance",2009.0,6.8,5591.0,"BE, NL"
The Blood of a Poet,movie,Fantasy,1932.0,7.2,7600.0,"BG, CY, CZ, DK, EE, FI, GR, HR, HU, IS, IT, LI, LT, LV, MT, NL, NO, PT, RO, SE, SI, SK"
"Run, Waiter, Run!",movie,Comedy,1981.0,7.9,2340.0,"CZ, SK"
The Crossing,movie,"Comedy, Romance, Thriller",2004.0,5.7,586.0,"AT, BE, BG, BM, CH, CY, CZ, DE, EE, ES, FR, GB, GG, GI, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, NL, PL, PT, RO, SI, SK, TC"
"Slunce, seno a pár facek",movie,Comedy,1989.0,6.8,1346.0,"CZ, SK"
"Sun, Hay, Berries",movie,Comedy,1984.0,7.0,1633.0,"CZ, SK"
Fuga,movie,"Drama, Music, Thriller",2006.0,6.3,1244.0,"AG, AR, BB, BM, BO, BR, BS, BZ, CL, CO, CR, CU, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
So Different,movie,"Comedy, Drama",2009.0,4.2,269.0,"AT, BE, BG, BM, CH, CY, CZ, DE, EE, ES, FR, GB, GF, GG, GI, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, NL, PF, PL, PT, RO, SI, SK"
True Legend,movie,"Action, Drama, History",2010.0,6.4,9334.0,TW
Falling Down,movie,"Crime, Drama, Thriller",1993.0,7.6,213610.0,"AD, ES, PT"
Sailor Moon R: The Movie: The Promise of the Rose,movie,"Action, Animation, Comedy",1993.0,7.7,2973.0,"AR, BO, BR, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, UY, VE"
The Truman Show,movie,"Comedy, Drama",1998.0,8.2,1251606.0,JP
Hue and Cry,movie,"Adventure, Comedy, Crime",1947.0,6.7,1879.0,"DK, FI, MT, NO, SE"
The Firm,movie,"Drama, Mystery, Thriller",1993.0,6.9,152072.0,"AZ, BY, JP, LT, LV, UA"
Shin Chan: The Adult Empire Strikes Back,movie,"Action, Adventure, Animation",2001.0,7.8,1313.0,"JP, KR"
Take Care of My Cat,movie,Drama,2001.0,7.1,2656.0,KR
Agneepath,movie,"Action, Crime, Drama",1990.0,7.6,9651.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
Conan the Barbarian,movie,"Action, Adventure, Fantasy",2011.0,5.2,103777.0,"BE, GB, GG, GI, IE, MT, NL"
Police Python 357,movie,"Crime, Drama, Thriller",1976.0,6.9,2143.0,"BG, EE, GR, HR, IS, LI, LT, LV, PT, RO, SI"
