title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries,movie_quality_score,movie_quality_category
Mad Max: Fury Road,movie,"Action, Adventure, Sci-Fi",2015.0,8.1,1147859.0,"AD, AE, AG, AO, AR, AT, AU, AZ, BB, BE, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CV, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, GF, GG, GH, GR, GT, HK, HN, ID, IE, IL, IN, IQ, IS, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MG, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PS, PT, PY, QA, SA, SC, SE, SG, SM, SN, SV, TC, TH, TN, TT, TW, TZ, UG, US, UY, VE, YE, ZM, ZW",8.444444444444445,High
The Matrix,movie,"Action, Sci-Fi",1999.0,8.7,2122103.0,"AD, BA, BG, CA, CH, CZ, DK, ES, FI, GB, GG, HR, HU, IE, IT, MD, ME, MK, NO, PL, PT, RO, RS, SE, SI, SK, SM",8.444444444444445,High
City of God,movie,"Crime, Drama",2002.0,8.6,825696.0,BR,8.444444444444445,High
The Lives of Others,movie,"Drama, Mystery, Thriller",2006.0,8.4,422731.0,"AT, CH, DE, LI, LU",8.444444444444445,High
One Piece,tv,"Action, Adventure, Animation",1999.0,9.0,277931.0,"AR, AU, BO, BR, CA, CL, CO, CR, CU, DO, EC, GT, HK, HN, ID, JP, KR, MX, MY, NI, NZ, PA, PE, PH, PY, SG, SV, TH, TW, US, UY, VE, ZA",8.444444444444445,High
Suits,tv,"Comedy, Drama",2011.0,8.4,504075.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW",8.444444444444445,High
Shutter Island,movie,"Drama, Mystery, Thriller",2010.0,8.2,1518941.0,"AT, CH, DE, LI, LU",8.444444444444445,High
Death Note,tv,"Animation, Crime, Drama",2006.0,8.9,408503.0,"AE, AR, AU, BH, BO, BR, CA, CL, CO, CR, CU, DO, EC, GT, HK, HN, ID, IN, IQ, JO, JP, KW, LB, MX, MY, NI, NZ, OM, PA, PE, PH, PK, PS, PY, QA, SA, SG, SV, TH, TW, US, UY, VE, YE",8.444444444444445,High
Demon Slayer: Kimetsu no Yaiba,tv,"Action, Adventure, Animation",2019.0,8.6,175655.0,"AE, AG, AL, AR, AT, AZ, BA, BB, BG, BH, BM, BO, BR, BS, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CY, DE, DO, DZ, EC, EE, EG, ES, FR, GB, GF, GG, GH, GI, GQ, GT, HK, HN, ID, IE, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, ME, MG, MK, ML, MX, MY, NE, NG, NI, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RS, SA, SC, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW",8.444444444444445,High
One Piece,tv,"Action, Adventure, Comedy",2023.0,8.3,166934.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW",8.444444444444445,High
The Sting,movie,"Comedy, Crime, Drama",1973.0,8.3,286839.0,US,8.444444444444445,High
Top Gun: Maverick,movie,"Action, Drama",2022.0,8.2,751377.0,"AT, CH, DE, IL, LI",8.444444444444445,High
Hunter x Hunter,tv,"Action, Adventure, Animation",2011.0,9.0,154132.0,"AD, AE, AG, AL, AO, AR, AZ, BA, BB, BG, BH, BO, BR, BS, BY, BZ, CA, CL, CO, CR, CU, CV, CY, DO, EC, EE, EG, ES, FJ, FR, GH, GQ, GT, HK, HN, ID, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LT, LU, LV, LY, MC, MD, ME, MK, ML, MU, MX, MZ, NE, NG, NI, OM, PA, PE, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SG, SI, SK, SM, SV, TH, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW",8.444444444444445,High
Life Is Beautiful,movie,"Comedy, Drama, Romance",1997.0,8.6,766231.0,"IT, SM",8.444444444444445,High
Vikings,tv,"Action, Adventure, Drama",2013.0,8.5,606956.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW",8.444444444444445,High
Archer,tv,"Action, Animation, Comedy",2009.0,8.6,170089.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HN, IE, IL, IN, IQ, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW",8.444444444444445,High
