title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries,movie_quality_score,movie_quality_category
Princess Mononoke,movie,"Adventure, Animation, Fantasy",1997.0,8.3,451552.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW",8.444444444444445,High
The Dark Knight Rises,movie,"Action, Drama, Thriller",2012.0,8.4,1886338.0,"AD, AT, AU, CH, DE, ES, IT, JP, KR, LI, LU, NZ, PT, SM",8.444444444444445,High
There Will Be Blood,movie,Drama,2007.0,8.2,660484.0,PS,8.444444444444445,High
The Hunt,movie,Drama,2012.0,8.3,380564.0,"DK, FI, NO, SE",8.444444444444445,High
Howl's Moving Castle,movie,"Adventure, Animation, Family",2004.0,8.2,472298.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW",8.444444444444445,High
Arcane,tv,"Action, Adventure, Animation",2021.0,9.0,366980.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW",8.444444444444445,High
Downton Abbey,tv,"Drama, Romance",2010.0,8.7,231958.0,"AG, AR, AT, BB, BE, BO, BR, BS, BZ, CA, CH, CL, CO, CR, DE, DK, DO, EC, FI, FR, GB, GG, GI, GT, HN, IE, IS, JM, LC, LU, MC, MX, NI, NL, NO, PA, PE, PF, PY, SE, SV, TC, TT, UY, VE",8.444444444444445,High
Fullmetal Alchemist: Brotherhood,tv,"Action, Adventure, Animation",2009.0,9.1,213043.0,"AG, AR, AU, BB, BE, BM, BO, BR, BS, BZ, CA, CL, CO, CR, CU, DO, EC, ES, FR, GB, GT, HN, IE, IT, JM, JP, LC, LU, MC, MX, NI, NL, NZ, PA, PE, PT, PY, SM, SV, TC, TT, US, UY, VE, ZA",8.444444444444445,High
Naruto: Shippuden,tv,"Action, Adventure, Animation",2007.0,8.7,188306.0,"AG, AR, AT, BB, BM, BO, BR, BS, BZ, CA, CH, CL, CO, CR, CU, DE, DO, EC, ES, FR, GF, GT, HK, HN, ID, IN, JM, JP, LC, LI, LU, MX, MY, NI, PA, PE, PF, PH, PK, PT, PY, SG, SV, TC, TH, TT, TW, UY, VE",8.444444444444445,High
Reservoir Dogs,movie,"Crime, Thriller",1992.0,8.3,1118870.0,"GB, GG, GI, IE, MT",8.444444444444445,High
The Green Mile,movie,"Crime, Drama, Fantasy",1999.0,8.6,1460036.0,"AD, AE, AL, AZ, BA, BE, BG, BH, BY, CH, CZ, DZ, EE, EG, FJ, FR, GB, GF, GG, GI, HK, HR, HU, ID, IE, IL, IN, IQ, IT, JO, KW, LB, LT, LU, LV, LY, MA, MC, MD, ME, MK, MT, MY, NL, OM, PF, PH, PK, PL, PS, PT, QA, RO, RS, SA, SG, SI, SK, SM, TD, TH, TN, TW, UA, YE",8.444444444444445,High
The Seventh Seal,movie,"Drama, Fantasy",1957.0,8.1,204979.0,"DK, FI, NO, SE",8.444444444444445,High
Big Fish,movie,"Adventure, Drama, Fantasy",2003.0,8.0,466208.0,JP,8.444444444444445,High
Schindler's List,movie,"Biography, Drama, History",1993.0,9.0,1499066.0,US,8.444444444444445,High
The Pianist,movie,"Biography, Drama, Music",2002.0,8.5,949939.0,"AR, BO, BR, BZ, CL, CO, CR, EC, GT, HN, MX, NI, PA, PE, PY, SV, UY, VE",8.444444444444445,High
Amélie,movie,"Comedy, Romance",2001.0,8.3,810866.0,"JP, TH",8.444444444444445,High
The Handmaiden,movie,"Drama, Romance, Thriller",2016.0,8.1,183106.0,"HK, KR",8.444444444444445,High
Incendies,movie,"Drama, Mystery, War",2010.0,8.3,219122.0,PS,8.444444444444445,High
